device,hive number,hive temp,hive humidity,hive pressure,weather temp,weather humidity,weather pressure,wind speed,gust speed,weatherID,cloud coverage,rain,lat,long,queen presence,queen acceptance,frames,target,time,queen status
1,5,36.42,30.29,1007.45,26.68,52,1013,8.75,,711,75,0,37.29,-121.95,1,2,8,0,0.583,0
1,5,33.56,33.98,1006.93,25.99,53,1012,10.29,,803,75,0,37.29,-121.95,1,2,8,0,0.625,0
1,5,29.01,42.73,1006.68,24.49,56,1012,8.75,,803,75,0,37.29,-121.95,0,0,8,1,0.708,1
1,5,30.51,36.74,1006.68,22.97,59,1012,8.23,10.29,803,75,0,37.29,-121.95,0,0,8,1,0.75,1
1,5,30.32,35.55,1006.58,21.52,61,1012,7.2,,803,75,0,37.29,-121.95,0,0,8,1,0.792,1
1,5,29.29,36.34,1006.62,19.44,64,1013,6.69,,803,75,0,37.29,-121.95,0,0,8,1,0.833,1
1,5,25.02,45.67,1007.11,17.02,73,1013,4.12,7.2,802,40,0,37.29,-121.95,0,0,8,1,0.875,1
1,5,23.89,46.37,1007.54,15.93,78,1013,4.12,,801,20,0,37.29,-121.95,0,0,8,1,0.917,1
1,5,22.86,48.23,1007.45,15.33,79,1013,4.63,,801,20,0,37.29,-121.95,0,0,8,1,0.958,1
1,5,22.51,49.07,1007.58,14.58,82,1013,5.14,,801,20,0,37.29,-121.95,0,0,8,1,0.0,1
1,5,22.21,48.16,1007.57,13.82,81,1013,3.09,,800,0,0,37.29,-121.95,0,0,8,1,0.042,1
1,5,22.11,48.18,1006.91,13.54,84,1013,2.06,,800,0,0,37.29,-121.95,0,0,8,1,0.083,1
1,5,22.04,47.06,1006.68,12.92,86,1013,0.45,0.89,800,0,0,37.29,-121.95,0,0,8,1,0.125,1
1,5,21.56,46.82,1006.82,12.45,87,1012,0.45,0.89,800,0,0,37.29,-121.95,0,0,8,1,0.167,1
1,5,21.32,47.32,1007.3,12.12,88,1013,2.06,,800,0,0,37.29,-121.95,0,0,8,1,0.208,1
1,5,22.72,45.41,1007.42,11.95,87,1013,1.54,,802,40,0,37.29,-121.95,0,0,8,1,0.25,1
1,5,23.76,57.41,1007.35,13.28,85,1013,0.89,1.79,803,75,0,37.29,-121.95,0,0,8,1,0.292,1
1,5,26.04,48.01,1006.95,15.54,80,1012,1.54,,803,75,0,37.29,-121.95,0,0,8,1,0.333,1
1,5,28.95,44.52,1007.87,17.89,69,1013,4.12,,803,75,0,37.29,-121.95,0,0,8,1,0.375,1
1,5,31.93,38.1,1008.18,20.36,61,1013,3.6,,803,75,0,37.29,-121.95,0,0,8,1,0.417,1
1,5,34.53,31.81,1007.45,23.74,52,1013,0.89,2.24,803,75,0,37.29,-121.95,0,0,8,1,0.458,1
1,5,38.69,25.04,1007.12,27.06,40,1012,3.09,,803,75,0,37.29,-121.95,0,0,8,1,0.5,1
1,5,40.32,20.04,1006.66,29.44,34,1012,5.14,,803,75,0,37.29,-121.95,0,0,8,1,0.542,1
1,5,38.99,18.2,1006.45,30.09,34,1012,6.17,,802,40,0,37.29,-121.95,0,0,8,1,0.583,1
1,5,36.55,23.44,1006.46,30.33,35,1012,6.69,,802,40,0,37.29,-121.95,0,0,8,1,0.625,1
1,5,34.92,23.03,1005.91,31.11,31,1012,6.17,,802,40,0,37.29,-121.95,0,0,8,1,0.667,1
1,5,33.61,23.65,1005.38,30.97,29,1011,7.72,,800,0,0,37.29,-121.95,0,0,8,1,0.708,1
1,5,31.19,39.57,1005.43,27.96,33,1012,7.2,,802,40,0,37.29,-121.95,1,1,8,2,0.75,2
1,5,30.73,29.67,1006.05,25.18,41,1012,6.69,,803,75,0,37.29,-121.95,1,1,8,2,0.792,2
1,5,28.23,35.42,1006.78,22.52,44,1013,5.14,,803,75,0,37.29,-121.95,1,1,8,2,0.833,2
1,5,26.26,40.48,1007.47,20.58,57,1013,4.12,,802,40,0,37.29,-121.95,1,1,8,2,0.875,2
1,5,24.96,44.1,1007.81,19.82,61,1014,4.12,,801,20,0,37.29,-121.95,1,1,8,2,0.917,2
1,5,23.84,47.34,1007.7,19.07,65,1014,3.6,,800,0,0,37.29,-121.95,1,1,8,2,0.958,2
1,5,22.79,49.53,1007.34,18.21,67,1013,1.54,,800,0,0,37.29,-121.95,1,1,8,2,0.0,2
1,5,22.27,50.36,1006.88,17.56,69,1013,1.54,,800,0,0,37.29,-121.95,1,1,8,2,0.042,2
1,5,21.91,51.37,1006.81,16.96,72,1012,0.45,1.34,800,0,0,37.29,-121.95,1,1,8,2,0.083,2
1,5,21.53,51.6,1006.44,16.5,73,1012,0.0,,800,0,0,37.29,-121.95,1,1,8,2,0.125,2
1,5,21.19,52.7,1006.72,15.95,75,1012,0.0,,800,0,0,37.29,-121.95,1,1,8,2,0.167,2
1,5,21.29,51.23,1007.11,15.9,75,1013,0.0,,800,0,0,37.29,-121.95,1,1,8,2,0.208,2
1,5,21.95,51.43,1007.62,17.42,70,1013,0.0,,801,20,0,37.29,-121.95,1,1,8,2,0.25,2
1,5,25.48,53.33,1008.18,21.1,62,1014,1.54,,711,20,0,37.29,-121.95,1,1,8,2,0.292,2
1,5,30.27,40.96,1008.6,24.18,53,1014,0.45,0.89,801,20,0,37.29,-121.95,1,1,8,2,0.333,2
1,5,34.7,33.04,1008.74,26.81,48,1014,0.89,2.24,801,20,0,37.29,-121.95,1,1,8,2,0.375,2
1,5,38.47,26.42,1008.25,29.85,41,1014,2.57,,801,20,0,37.29,-121.95,1,1,8,2,0.417,2
1,5,41.07,22.68,1007.71,31.9,33,1013,3.09,,801,20,0,37.29,-121.95,1,1,8,2,0.458,2
1,5,42.57,21.37,1007.4,33.32,32,1013,5.14,,801,20,0,37.29,-121.95,1,1,8,2,0.5,2
1,5,42.41,19.66,1007.12,34.56,30,1013,6.17,,801,20,0,37.29,-121.95,1,1,8,2,0.542,2
1,5,41.32,17.26,1006.65,35.43,23,1013,6.17,,802,40,0,37.29,-121.95,1,1,8,2,0.583,2
1,5,39.47,22.71,1006.59,34.97,27,1013,7.72,,802,40,0,37.29,-121.95,1,1,8,2,0.625,2
1,5,37.12,29.23,1006.42,34.23,31,1012,7.72,,802,40,0,37.29,-121.95,1,1,8,2,0.667,2
1,5,31.73,38.54,1007.03,27.99,48,1013,9.77,,802,40,0,37.29,-121.95,1,1,8,2,0.75,2
1,5,30.26,36.54,1007.33,26.22,51,1015,6.69,11.32,802,40,0,37.29,-121.95,1,1,8,2,0.792,2
1,5,28.6,41.06,1007.98,23.93,55,1015,6.17,,802,40,0,37.29,-121.95,1,1,8,2,0.833,2
1,5,26.78,46.75,1008.74,22.23,59,1016,5.66,,802,40,0,37.29,-121.95,1,1,8,2,0.875,2
1,5,25.58,48.76,1009.64,21.3,61,1016,4.63,,801,20,0,37.29,-121.95,1,1,8,2,0.917,2
1,5,24.41,53.4,1009.65,20.85,66,1016,3.09,6.69,800,0,0,37.29,-121.95,1,1,8,2,0.958,2
1,5,23.44,55.81,1009.54,19.87,68,1015,2.57,,800,0,0,37.29,-121.95,1,1,8,2,0.0,2
1,5,22.45,58.39,1008.72,19.14,71,1014,3.6,,800,0,0,37.29,-121.95,1,1,8,2,0.042,2
1,5,21.45,61.18,1008.07,18.23,73,1014,1.54,,800,0,0,37.29,-121.95,1,1,8,2,0.083,2
1,5,20.71,62.03,1008.18,17.32,75,1014,0.45,0.45,800,0,0,37.29,-121.95,1,1,8,2,0.125,2
1,5,20.07,62.35,1008.33,16.81,77,1014,0.45,0.89,800,0,0,37.29,-121.95,1,1,8,2,0.167,2
1,5,19.52,62.04,1008.88,16.33,77,1014,0.45,0.45,800,0,0,37.29,-121.95,1,1,8,2,0.208,2
1,5,19.87,59.59,1009.27,16.53,77,1015,0.45,0.45,802,40,0,37.29,-121.95,1,1,8,2,0.25,2
1,5,23.36,57.19,1009.32,20.29,68,1015,0.45,0.45,802,40,0,37.29,-121.95,1,1,8,2,0.292,2
1,5,28.71,46.45,1009.2,23.93,56,1014,1.54,,801,20,0,37.29,-121.95,1,1,8,2,0.333,2
1,5,33.34,34.26,1009.11,26.69,45,1015,0.89,1.34,801,20,0,37.29,-121.95,1,1,8,2,0.375,2
1,5,36.83,25.66,1008.96,29.15,35,1015,3.09,,801,20,0,37.29,-121.95,1,1,8,2,0.417,2
1,5,39.7,21.21,1008.93,30.51,30,1015,4.02,6.26,801,20,0,37.29,-121.95,1,1,8,2,0.458,2
1,5,40.57,18.04,1008.44,31.68,28,1014,5.14,,801,20,0,37.29,-121.95,1,1,8,2,0.5,2
1,5,40.09,23.01,1008.13,31.92,34,1014,7.72,,801,20,0,37.29,-121.95,1,1,8,2,0.542,2
1,5,37.97,27.61,1007.83,31.91,39,1013,7.72,10.29,801,20,0,37.29,-121.95,1,1,8,2,0.583,2
1,5,36.09,32.06,1007.38,31.45,42,1013,9.26,13.89,801,20,0,37.29,-121.95,1,1,8,2,0.625,2
1,5,25.73,28.22,1009.06,,0,0,,,0,0,0,,,1,2,8,3,0.75,3
1,5,28.01,22.8,1009.18,21.44,38,1016,5.66,,800,0,0,37.29,-121.95,1,2,8,3,0.792,3
1,5,26.89,28.1,1009.3,19.06,48,1016,6.69,,800,0,0,37.29,-121.95,1,2,8,3,0.833,3
1,5,24.71,33.06,1009.8,16.57,55,1017,4.63,,800,0,0,37.29,-121.95,1,2,8,3,0.875,3
1,5,23.02,35.02,1010.12,15.82,62,1016,3.6,,800,0,0,37.29,-121.95,1,2,8,3,0.917,3
1,5,21.92,36.51,1010.09,15.02,65,1016,0.0,,800,0,0,37.29,-121.95,1,2,8,3,0.958,3
1,5,21.41,38.27,1010.21,14.26,68,1016,1.54,,800,0,0,37.29,-121.95,1,2,8,3,0.0,3
1,5,21.36,37.98,1010.0,13.63,69,1016,0.45,1.34,800,0,0,37.29,-121.95,1,2,8,3,0.042,3
1,5,20.88,38.12,1009.78,12.95,72,1016,0.0,,800,0,0,37.29,-121.95,1,2,8,3,0.083,3
1,5,20.81,38.58,1009.65,12.27,75,1015,0.45,0.89,802,40,0,37.29,-121.95,1,2,8,3,0.125,3
1,5,21.18,37.86,1009.84,11.87,76,1016,0.45,0.45,800,0,0,37.29,-121.95,1,2,8,3,0.125,3
1,5,21.0,38.02,1009.79,11.58,78,1015,1.54,,800,0,0,37.29,-121.95,1,2,8,3,0.167,3
1,5,21.7,39.05,1010.04,11.44,78,1016,0.45,0.45,802,40,0,37.29,-121.95,1,2,8,3,0.208,3
1,5,22.96,38.21,1010.19,13.76,72,1016,0.89,0.89,800,0,0,37.29,-121.95,1,2,8,3,0.25,3
1,5,25.79,39.21,1010.24,17.37,64,1016,1.34,2.68,800,0,0,37.29,-121.95,1,2,8,3,0.292,3
1,5,30.05,37.19,1010.12,20.02,52,1015,2.57,,800,0,0,37.29,-121.95,1,2,8,3,0.333,3
1,5,33.83,30.3,1010.01,22.65,44,1016,3.09,,800,0,0,37.29,-121.95,1,2,8,3,0.375,3
1,5,36.92,24.44,1009.87,24.7,37,1015,5.14,,800,0,0,37.29,-121.95,1,2,8,3,0.417,3
1,5,39.09,20.87,1009.7,26.5,35,1015,4.63,,800,0,0,37.29,-121.95,1,2,8,3,0.458,3
1,5,40.31,17.0,1009.23,28.06,29,1015,4.63,,800,0,0,37.29,-121.95,1,2,8,3,0.5,3
1,5,39.14,15.32,1008.65,28.86,25,1015,5.66,,711,20,0,37.29,-121.95,1,2,8,3,0.542,3
1,5,36.77,16.35,1008.03,29.54,23,1014,6.17,,711,20,0,37.29,-121.95,1,2,8,3,0.583,3
1,5,35.18,13.76,1007.62,29.49,23,1014,6.17,,711,20,0,37.29,-121.95,1,2,8,3,0.625,3
1,5,32.8,20.93,1007.21,28.53,25,1013,7.72,,711,20,0,37.29,-121.95,1,2,8,3,0.667,3
1,5,31.94,23.93,1006.73,27.39,31,1013,8.75,,711,20,0,37.29,-121.95,1,2,8,3,0.708,3
2,3,29.84,43.53,1007.27,24.15,68,1013,5.14,,803,75,0,37.29,-121.95,1,2,10,5,0.708,0
2,3,28.14,44.7,1007.48,23.02,71,1013,7.2,,803,75,0,37.29,-121.95,1,2,10,5,0.75,0
2,3,26.52,46.6,1007.81,21.44,76,1013,6.17,,803,75,0,37.29,-121.95,1,2,10,5,0.792,0
2,3,25.42,47.82,1008.07,19.82,80,1014,5.66,,803,75,0,37.29,-121.95,1,2,10,5,0.833,0
2,3,24.54,47.87,1008.55,18.66,82,1014,4.63,,803,75,0,37.29,-121.95,1,2,10,5,0.875,0
2,3,23.07,51.73,1009.37,18.25,81,1015,5.14,,803,75,0,37.29,-121.95,1,2,10,5,0.917,0
2,3,22.46,52.37,1009.43,17.96,83,1015,6.69,,803,75,0,37.29,-121.95,1,2,10,5,0.958,0
2,3,21.59,53.07,1009.61,17.17,85,1015,7.2,,804,100,0,37.29,-121.95,1,2,10,5,0.0,0
